name_0,iso,iso_num,name_1,ccaps_id,year,source,website,pnar,pnar_se,pnar_sz,pgar,pgar_se,pgar_sz,snar,snar_se,snar_sz,sgar,sgar_se,sgar_sz,lit15up,lit15up_se,lit15up_sz,lit1524,lit1524_se,lit1524_sz,lit1519,lit1519_se,lit1519_sz,lit2549,lit2549_se,lit2549_sz,iwatpop,iwatpop_se,iwatpop_sz,isanpop,isanpop_se,isanpop_sz,elecpop,elecpop_se,elecpop_sz,radpop,radpop_se,radpop_sz,tvpop,tvpop_se,tvpop_sz,rdtvpop,rdtvpop_se,rdtvpop_sz,iwathh,iwathh_se,iwathh_sz,isanhh,isanhh_se,isanhh_sz,elechh,elechh_se,elechh_sz,radhh,radhh_se,radhh_sz,tvhh,tvhh_se,tvhh_sz,rdtvhh,rdtvhh_se,rdtvhh_sz
"Madagascar","MDG",450,"Itasy",450016,2009,"DHS","www.measuredhs.com",82.71194,2.875859,669,124.9475,4.832374,669,21.53842,3.846041,728,24.07397,4.251962,732,84.39956,1.689127,1135,89.4629,2.332063,390,90.90907,2.400926,237,81.37125,1.961975,697,54.17223,7.402395,3865,5.276358,1.681005,3865,7.918514,3.086621,3865,79.77942,2.250157,3854,5.820784,2.073576,3865,79.96841,2.308699,3865,55.70372,7.64531,773,5.090003,1.55156,773,8.672414,3.168707,773,76.12727,2.652169,771,6.478275,2.264079,773,76.38532,2.736586,773
"Madagascar","MDG",450,"Melaky",450017,2009,"DHS","www.measuredhs.com",52.8444,6.220802,557,90.29442,8.354759,557,5.589249,2.930888,562,8.654481,4.088755,564,49.43351,4.586252,931,48.75361,5.324349,378,52.00841,5.698497,240,49.85249,5.0794,500,8.310595,3.015435,3007,.6179252,.380098,2998,6.043057,3.617105,3007,36.16293,4.057656,3007,5.681893,2.871515,3005,36.16293,4.057656,3007,8.022716,2.611213,648,.8689124,.5589265,646,6.189385,3.750616,648,32.99356,3.727216,648,5.568711,2.951563,647,32.99356,3.727216,648
"Madagascar","MDG",450,"Menabe",450018,2009,"DHS","www.measuredhs.com",68.50304,5.113003,564,107.5925,7.408774,564,15.90373,4.447952,507,21.37515,5.746324,511,53.43373,4.648082,864,55.22783,4.873815,309,61.47398,4.861683,172,51.59974,5.089959,525,41.56089,7.89964,3125,1.88665,.5270385,3119,8.835492,2.014769,3123,51.4632,6.078056,3128,9.510397,1.952832,3128,51.72736,6.080822,3131,40.96823,8.086925,672,1.910069,.5569616,670,7.810445,1.442404,672,49.15481,6.191897,673,8.329584,1.582972,673,49.35309,6.178745,674
"Madagascar","MDG",450,"Sava",450019,2009,"DHS","www.measuredhs.com",84.89798,1.675818,535,140.4171,4.835213,535,28.88379,4.84838,523,37.13513,6.342168,527,74.09755,3.105348,864,76.64027,3.421245,306,79.56322,3.904195,164,72.48315,3.575614,536,34.75972,8.716094,3054,5.045731,1.414954,3054,3.986882,1.710716,3054,50.02044,3.831281,3050,5.09442,1.664923,3054,50.17582,3.856579,3054,33.63743,8.312153,742,4.49788,1.300379,742,3.990139,1.840411,742,45.90564,3.568121,741,4.730271,1.70234,742,45.93907,3.57732,742
"Madagascar","MDG",450,"Sofia",450020,2009,"DHS","www.measuredhs.com",85.04536,2.115743,702,131.8719,3.795577,702,31.12732,4.117153,678,38.49594,5.4062,680,85.09888,2.524778,1172,88.46195,2.68944,475,91.88802,2.532658,300,83.01682,2.787602,655,28.16423,7.578357,3618,1.866607,.4435488,3618,5.519314,1.259002,3618,61.66906,4.085502,3618,4.400395,.680815,3616,62.04185,4.102608,3618,28.00989,7.472051,749,2.143754,.5060152,749,5.805823,1.631708,749,59.65089,4.003689,749,4.673237,.8760314,748,60.07003,4.01301,749
"Madagascar","MDG",450,"Vakinankaratra",450021,2009,"DHS","www.measuredhs.com",81.36473,2.77637,639,124.6218,3.778552,639,29.49564,5.015573,645,36.03372,6.493804,650,82.82505,2.7043,1100,86.4931,2.62665,392,90.52624,2.259651,230,80.16696,3.386743,665,35.68838,7.448975,3658,2.150807,.6939298,3658,10.29298,4.035786,3658,72.14157,3.998855,3658,11.6854,4.303606,3654,72.40199,4.008426,3658,37.22167,7.649501,752,2.554195,.8501745,752,12.21573,4.630643,752,69.37679,3.573234,752,12.17979,4.437935,751,69.81328,3.636018,752
"Madagascar","MDG",450,"Vatovavy Fitovinany",450022,2009,"DHS","www.measuredhs.com",75.76952,2.793242,678,124.076,4.377944,679,12.35042,1.614465,627,15.75637,1.903584,632,52.92904,4.124232,1017,51.0717,4.305681,393,54.54982,4.845632,220,53.45071,5.056348,587,18.56606,5.711161,3752,.5352438,.2415712,3752,3.984448,.579318,3752,43.69431,4.923246,3752,3.172408,.6726498,3752,43.73765,4.921999,3752,20.03168,5.910878,720,.5246419,.2171791,720,4.263307,.5464996,720,41.48307,4.554753,720,3.457082,.8445522,720,41.52761,4.554785,720
"Mali","MLI",466,"Bamako",466001,2006,"DHS","www.measuredhs.com",77.57832,1.724266,1131,112.0753,3.580052,1134,41.39363,2.254413,1304,65.34872,3.356608,1313,50.40599,2.082929,2579,53.78677,2.78717,1244,54.88391,2.467315,679,46.24269,2.176443,1292,95.35813,1.794598,8470,61.29002,3.72358,8429,74.50726,3.321408,8470,87.87061,1.155359,8457,72.58223,1.883872,8464,92.4151,.8284633,8470,94.93327,1.816923,1460,61.77869,3.670309,1454,72.08109,3.254661,1460,85.34624,1.258831,1458,66.47304,1.924054,1458,89.93367,.9994181,1460
"Mali","MLI",466,"Gao",466002,2006,"DHS","www.measuredhs.com",51.86499,4.861349,1012,72.72646,5.817335,1014,23.4182,2.740167,694,29.9632,3.378276,700,22.8504,2.480514,1277,32.96069,3.898225,477,38.64321,4.745208,281,16.73273,2.144526,769,58.24111,8.839829,5162,29.70693,7.009744,5162,11.58144,4.455033,5166,60.54425,5.280888,5151,16.59444,3.77652,5175,62.18517,5.350129,5176,56.33047,8.980856,945,28.11076,7.219573,946,12.09699,4.718245,947,57.98913,5.347783,943,14.71305,3.810305,947,59.27537,5.43914,948
"Mali","MLI",466,"Kayes",466003,2006,"DHS","www.measuredhs.com",37.50648,4.383763,1593,55.02999,7.176966,1600,8.123326,1.702934,1087,10.9499,2.395962,1098,13.60444,3.307145,2105,18.75411,3.988739,800,23.07558,3.867934,450,10.00035,3.172562,1249,57.76143,5.731521,8411,28.01647,3.984834,8396,11.20064,4.104106,8383,69.42776,3.074941,8406,15.05504,3.923602,8403,72.28956,3.151638,8411,58.85498,5.63625,1492,28.81262,4.436346,1489,11.89235,4.588628,1488,67.29987,2.912897,1491,14.35641,3.735779,1490,70.31635,3.092356,1492
"Mali","MLI",466,"Kidal",466004,2006,"DHS","www.measuredhs.com",35.23894,4.834685,286,47.06496,5.543157,289,21.8721,4.957099,145,28.91753,8.444558,146,18.73841,2.870433,386,20.97573,5.086451,138,34.49372,7.355734,60,17.82192,2.561161,238,31.55428,12.10273,1448,93.51029,1.311992,1442,22.70081,13.05416,1448,34.8692,6.575153,1446,21.81729,12.65761,1448,45.80711,11.79664,1448,27.24337,12.4754,330,90.71913,1.778255,329,20.40184,11.94362,330,29.70346,5.984351,329,19.36111,11.45498,330,41.06987,11.80798,330
